"file_name","plot_number","folder_name","x_coordinate","y_coordinate"
"5-1053-10.xls","5-1053","Delnice",5463000,5047000
"5-1054-3.xls","5-1054","Delnice",5468000,5049000
"5-1055-12.xls","5-1055","Delnice",5473000,5047000
"5-1056-13.xls","5-1056","Delnice",5474000,5046000
"5-1135-14.xls","5-1135","Delnice",5463000,5042000
"5-1136-10.xls","5-1136","Delnice",5467000,5043000
"5-1137-8.xls","5-1137","Delnice",5473000,5044000
"5-1138-10.xls","5-1138","Delnice",5475000,5043000
"5-1139-13.xls","5-1139","Delnice",5478000,5042000
"5-1223-16.xls","5-1223","Delnice",5453000,5038000
"5-1224-10.xls","5-1224","Delnice",5455000,5039000
"5-1225-7.xls","5-1225","Delnice",5460000,5040000
"5-1226-7.xls","5-1226","Delnice",5464000,5040000
"5-1227-10.xls","5-1227","Delnice",5467000,5039000
"5-1228-8.xls","5-1228","Delnice",5473000,5040000
"5-1229-13.xls","5-1229","Delnice",5474000,5038000
"5-1230-1.xls","5-1230","Delnice",5478000,5041000
"5-1231-14.xls","5-1231","Delnice",5483000,5038000
"5-1233-4.xls","5-1233","Delnice",5497000,5041000
"5-1326-8.xls","5-1326","Delnice",5449000,5036000
"5-1327-12.xls","5-1327","Delnice",5453000,5035000
"5-1328-11.xls","5-1328","Delnice",5456000,5035000
"5-1329-12.xls","5-1329","Delnice",5461000,5035000
"5-1330-16.xls","5-1330","Delnice",5465000,5034000
"5-1331-3.xls","5-1331","Delnice",5468000,5037000
"5-1332-5.xls","5-1332","Delnice",5470000,5036000
"5-1333-8.xls","5-1333","Delnice",5477000,5036000
"5-1334-13.xls","5-1334","Delnice",5478000,5034000
"5-1335-1.xls","5-1335","Delnice",5482000,5037000
"5-1336-12.xls","5-1336","Delnice",5489000,5035000
"5-1338-7.xls","5-1338","Delnice",5496000,5036000
"5-1339-5.xls","5-1339","Delnice",5498000,5036000
"5-1340-12.xls","5-1340","Delnice",5505000,5035000
"5-1341-13.xls","5-1341","Delnice",5506000,5034000
"5-1433-11.xls","5-1433","Delnice",5448000,5031000
"5-1434-13.xls","5-1434","Delnice",5450000,5030000
"5-1435-11.xls","5-1435","Delnice",5456000,5031000
"5-1436-9.xls","5-1436","Delnice",5458000,5031000
"5-1437-16.xls","5-1437","Delnice",5465000,5030000
"5-1438-13.xls","5-1438","Delnice",5466000,5030000
"5-1439-5.xls","5-1439","Delnice",5470000,5032000
"5-1440-12.xls","5-1440","Delnice",5477000,5031000
"5-1441-15.xls","5-1441","Delnice",5480000,5030000
"5-1442-16.xls","5-1442","Delnice",5485000,5030000
"5-1443-7.xls","5-1443","Delnice",5488000,5032000
"5-1444-1.xls","5-1444","Delnice",5490000,5033000
"5-1445-14.xls","5-1445","Delnice",5495000,5030000
"5-1446-14.xls","5-1446","Delnice",5499000,5030000
"5-1447-16.xls","5-1447","Delnice",5505000,5030000
"5-1448-11.xls","5-1448","Delnice",5508000,5031000
"5-1449-14.xls","5-1449","Delnice",5511000,5030000
"5-1547-6.xls","5-1547","Delnice",5463000,5028000
"5-1548-10.xls","5-1548","Delnice",5467000,5027000
"5-1549-9.xls","5-1549","Delnice",5470000,5027000
"5-1550-15.xls","5-1550","Delnice",5476000,5026000
"5-1551-2.xls","5-1551","Delnice",5479000,5029000
"5-1552-12.xls","5-1552","Delnice",5485000,5027000
"5-1553-3.xls","5-1553","Delnice",5488000,5029000
"5-1554-1.xls","5-1554","Delnice",5490000,5029000
"5-1555-11.xls","5-1555","Delnice",5496000,5027000
"5-1556-1.xls","5-1556","Delnice",5498000,5029000
"5-1557-3.xls","5-1557","Delnice",5504000,5029000
"5-1558-2.xls","5-1558","Delnice",5507000,5029000
"5-1559-2.xls","5-1559","Delnice",5511000,5029000
"5-1560-1.xls","5-1560","Delnice",5514000,5029000
"5-1658-10.xls","5-1658","Delnice",5463000,5023000
"5-1659-13.xls","5-1659","Delnice",5466000,5022000
"5-1660-6.xls","5-1660","Delnice",5471000,5024000
"5-1661-1.xls","5-1661","Delnice",5474000,5025000
"5-1662-1.xls","5-1662","Delnice",5478000,5025000
"5-1663-12.xls","5-1663","Delnice",5485000,5023000
"5-1664-14.xls","5-1664","Delnice",5487000,5022000
"5-1665-8.xls","5-1665","Delnice",5493000,5024000
"5-1666-7.xls","5-1666","Delnice",5496000,5024000
"5-1667-2.xls","5-1667","Delnice",5499000,5025000
"5-1668-10.xls","5-1668","Delnice",5503000,5023000
"5-1669-10.xls","5-1669","Delnice",5507000,5023000
"5-1670-15.xls","5-1670","Delnice",5512000,5022000
"5-1671-1.xls","5-1671","Delnice",5514000,5025000
"5-1771-7.xls","5-1771","Delnice",5460000,5020000
"5-1772-3.xls","5-1772","Delnice",5464000,5021000
"5-1773-6.xls","5-1773","Delnice",5467000,5020000
"5-1774-7.xls","5-1774","Delnice",5472000,5020000
"5-1775-4.xls","5-1775","Delnice",5477000,5021000
"5-1776-12.xls","5-1776","Delnice",5481000,5019000
"5-1777-4.xls","5-1777","Delnice",5485000,5021000
"5-1778-15.xls","5-1778","Delnice",5488000,5018000
"5-1779-7.xls","5-1779","Delnice",5492000,5020000
"5-1780-1.xls","5-1780","Delnice",5494000,5021000
"5-1781-5.xls","5-1781","Delnice",5498000,5020000
"5-1782-6.xls","5-1782","Delnice",5503000,5020000
"5-1783-4.xls","5-1783","Delnice",5509000,5021000
"5-1784-5.xls","5-1784","Delnice",5510000,5020000
"5-1886-1.xls","5-1886","Delnice",5466000,5017000
